,index,vehicle_id,p_start,p_temp,p_end,pre_routes,freq,label,regions
1852,1069752,100000288,"(106.734, 10.8079)","(106.73299999999999, 10.8085)","(106.711, 10.8026)","('nguyễn_văn_hưởng', 'nguyễn_văn_hưởng', 'xô_viết_nghệ_tĩnh')",120,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1853,1069760,100000288,"(106.734, 10.8079)","(106.73299999999999, 10.8085)","(106.712, 10.8097)","('nguyễn_văn_hưởng', 'nguyễn_văn_hưởng', 'quốc_lộ_13')",180,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_26_quận_bình_thạnh')"
1854,1070049,100000288,"(106.734, 10.8079)","(106.734, 10.8078)","(106.735, 10.8068)","('nguyễn_văn_hưởng', 'thảo_điền', 'thảo_điền')",126,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
1855,1070055,100000288,"(106.734, 10.8079)","(106.734, 10.8078)","(106.738, 10.8031)","('nguyễn_văn_hưởng', 'thảo_điền', 'nguyễn_duy_hiệu')",336,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
1856,1070063,100000288,"(106.734, 10.8079)","(106.734, 10.8078)","(106.734, 10.8024)","('nguyễn_văn_hưởng', 'thảo_điền', 'empty')",168,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
1857,1070064,100000288,"(106.734, 10.8079)","(106.734, 10.8078)","(106.734, 10.8029)","('nguyễn_văn_hưởng', 'thảo_điền', 'số_39')",126,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
1858,1070068,100000288,"(106.734, 10.8079)","(106.734, 10.8078)","(106.73200000000001, 10.8033)","('nguyễn_văn_hưởng', 'thảo_điền', 'quốc_hương')",168,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
1859,1070074,100000288,"(106.734, 10.8079)","(106.734, 10.8078)","(106.73100000000001, 10.7997)","('nguyễn_văn_hưởng', 'thảo_điền', 'cầu_sài_gòn_1')",294,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1860,1070082,100000288,"(106.734, 10.8079)","(106.734, 10.8078)","(106.72200000000001, 10.798)","('nguyễn_văn_hưởng', 'thảo_điền', 'điện_biên_phủ')",378,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1861,1070092,100000288,"(106.734, 10.8079)","(106.734, 10.8078)","(106.711, 10.8026)","('nguyễn_văn_hưởng', 'thảo_điền', 'xô_viết_nghệ_tĩnh')",336,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1862,1070100,100000288,"(106.734, 10.8079)","(106.734, 10.8078)","(106.712, 10.8097)","('nguyễn_văn_hưởng', 'thảo_điền', 'quốc_lộ_13')",504,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_26_quận_bình_thạnh')"
1863,1070490,100000288,"(106.734, 10.8079)","(106.738, 10.8031)","(106.73700000000001, 10.802999999999999)","('nguyễn_văn_hưởng', 'nguyễn_duy_hiệu', 'nguyễn_duy_hiệu')",168,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
1864,1070497,100000288,"(106.734, 10.8079)","(106.738, 10.8031)","(106.734, 10.8024)","('nguyễn_văn_hưởng', 'nguyễn_duy_hiệu', 'empty')",192,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
1865,1070498,100000288,"(106.734, 10.8079)","(106.738, 10.8031)","(106.734, 10.8029)","('nguyễn_văn_hưởng', 'nguyễn_duy_hiệu', 'số_39')",144,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
1866,1070502,100000288,"(106.734, 10.8079)","(106.738, 10.8031)","(106.73200000000001, 10.8033)","('nguyễn_văn_hưởng', 'nguyễn_duy_hiệu', 'quốc_hương')",192,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
1867,1070508,100000288,"(106.734, 10.8079)","(106.738, 10.8031)","(106.73100000000001, 10.7997)","('nguyễn_văn_hưởng', 'nguyễn_duy_hiệu', 'cầu_sài_gòn_1')",336,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1868,1070516,100000288,"(106.734, 10.8079)","(106.738, 10.8031)","(106.72200000000001, 10.798)","('nguyễn_văn_hưởng', 'nguyễn_duy_hiệu', 'điện_biên_phủ')",432,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1869,1070526,100000288,"(106.734, 10.8079)","(106.738, 10.8031)","(106.711, 10.8026)","('nguyễn_văn_hưởng', 'nguyễn_duy_hiệu', 'xô_viết_nghệ_tĩnh')",384,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1870,1070534,100000288,"(106.734, 10.8079)","(106.738, 10.8031)","(106.712, 10.8097)","('nguyễn_văn_hưởng', 'nguyễn_duy_hiệu', 'quốc_lộ_13')",576,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_26_quận_bình_thạnh')"
1871,1070944,100000288,"(106.734, 10.8079)","(106.734, 10.8024)","(106.73100000000001, 10.7997)","('nguyễn_văn_hưởng', 'empty', 'cầu_sài_gòn_1')",126,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1872,1070952,100000288,"(106.734, 10.8079)","(106.734, 10.8024)","(106.72200000000001, 10.798)","('nguyễn_văn_hưởng', 'empty', 'điện_biên_phủ')",198,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1873,1070962,100000288,"(106.734, 10.8079)","(106.734, 10.8024)","(106.711, 10.8026)","('nguyễn_văn_hưởng', 'empty', 'xô_viết_nghệ_tĩnh')",192,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1874,1070970,100000288,"(106.734, 10.8079)","(106.734, 10.8024)","(106.712, 10.8097)","('nguyễn_văn_hưởng', 'empty', 'quốc_lộ_13')",288,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_26_quận_bình_thạnh')"
1875,1070994,100000288,"(106.734, 10.8079)","(106.734, 10.8029)","(106.73100000000001, 10.7997)","('nguyễn_văn_hưởng', 'số_39', 'cầu_sài_gòn_1')",126,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1876,1071002,100000288,"(106.734, 10.8079)","(106.734, 10.8029)","(106.72200000000001, 10.798)","('nguyễn_văn_hưởng', 'số_39', 'điện_biên_phủ')",162,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1877,1071012,100000288,"(106.734, 10.8079)","(106.734, 10.8029)","(106.711, 10.8026)","('nguyễn_văn_hưởng', 'số_39', 'xô_viết_nghệ_tĩnh')",144,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1878,1071020,100000288,"(106.734, 10.8079)","(106.734, 10.8029)","(106.712, 10.8097)","('nguyễn_văn_hưởng', 'số_39', 'quốc_lộ_13')",216,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_26_quận_bình_thạnh')"
1879,1071184,100000288,"(106.734, 10.8079)","(106.73200000000001, 10.8033)","(106.73100000000001, 10.7997)","('nguyễn_văn_hưởng', 'quốc_hương', 'cầu_sài_gòn_1')",168,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1880,1071192,100000288,"(106.734, 10.8079)","(106.73200000000001, 10.8033)","(106.72200000000001, 10.798)","('nguyễn_văn_hưởng', 'quốc_hương', 'điện_biên_phủ')",216,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1881,1071202,100000288,"(106.734, 10.8079)","(106.73200000000001, 10.8033)","(106.711, 10.8026)","('nguyễn_văn_hưởng', 'quốc_hương', 'xô_viết_nghệ_tĩnh')",192,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1882,1071210,100000288,"(106.734, 10.8079)","(106.73200000000001, 10.8033)","(106.712, 10.8097)","('nguyễn_văn_hưởng', 'quốc_hương', 'quốc_lộ_13')",288,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_26_quận_bình_thạnh')"
1883,1071441,100000288,"(106.734, 10.8079)","(106.73100000000001, 10.7997)","(106.729, 10.7993)","('nguyễn_văn_hưởng', 'cầu_sài_gòn_1', 'cầu_sài_gòn_1')",126,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
1884,1071447,100000288,"(106.734, 10.8079)","(106.73100000000001, 10.7997)","(106.72200000000001, 10.798)","('nguyễn_văn_hưởng', 'cầu_sài_gòn_1', 'điện_biên_phủ')",378,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
1885,1071457,100000288,"(106.734, 10.8079)","(106.73100000000001, 10.7997)","(106.711, 10.8026)","('nguyễn_văn_hưởng', 'cầu_sài_gòn_1', 'xô_viết_nghệ_tĩnh')",336,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
1886,1071465,100000288,"(106.734, 10.8079)","(106.73100000000001, 10.7997)","(106.712, 10.8097)","('nguyễn_văn_hưởng', 'cầu_sài_gòn_1', 'quốc_lộ_13')",504,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1887,1071732,100000288,"(106.734, 10.8079)","(106.72200000000001, 10.798)","(106.72, 10.7987)","('nguyễn_văn_hưởng', 'điện_biên_phủ', 'điện_biên_phủ')",216,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
1888,1071741,100000288,"(106.734, 10.8079)","(106.72200000000001, 10.798)","(106.711, 10.8026)","('nguyễn_văn_hưởng', 'điện_biên_phủ', 'xô_viết_nghệ_tĩnh')",432,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
1889,1071749,100000288,"(106.734, 10.8079)","(106.72200000000001, 10.798)","(106.712, 10.8097)","('nguyễn_văn_hưởng', 'điện_biên_phủ', 'quốc_lộ_13')",648,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1890,1071762,100000288,"(106.734, 10.8079)","(106.72200000000001, 10.798)","(106.713, 10.8194)","('nguyễn_văn_hưởng', 'điện_biên_phủ', 'cầu_bình_triệu_(đinh_bộ_lĩnh)')",108,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1891,1072007,100000288,"(106.734, 10.8079)","(106.711, 10.8026)","(106.711, 10.802999999999999)","('nguyễn_văn_hưởng', 'xô_viết_nghệ_tĩnh', 'xô_viết_nghệ_tĩnh')",168,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
1892,1072014,100000288,"(106.734, 10.8079)","(106.711, 10.8026)","(106.712, 10.8097)","('nguyễn_văn_hưởng', 'xô_viết_nghệ_tĩnh', 'quốc_lộ_13')",576,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1893,1072155,100000288,"(106.734, 10.8079)","(106.712, 10.8097)","(106.712, 10.81)","('nguyễn_văn_hưởng', 'quốc_lộ_13', 'quốc_lộ_13')",396,False,"('phường_thảo_điền_quận_2', 'phường_26_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1894,1072167,100000288,"(106.734, 10.8079)","(106.712, 10.8097)","(106.713, 10.8194)","('nguyễn_văn_hưởng', 'quốc_lộ_13', 'cầu_bình_triệu_(đinh_bộ_lĩnh)')",144,False,"('phường_thảo_điền_quận_2', 'phường_26_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1895,1097715,100000288,"(106.738, 10.8031)","(106.73700000000001, 10.802999999999999)","(106.711, 10.8026)","('nguyễn_duy_hiệu', 'nguyễn_duy_hiệu', 'xô_viết_nghệ_tĩnh')",224,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1896,1097723,100000288,"(106.738, 10.8031)","(106.73700000000001, 10.802999999999999)","(106.712, 10.8097)","('nguyễn_duy_hiệu', 'nguyễn_duy_hiệu', 'quốc_lộ_13')",336,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_26_quận_bình_thạnh')"
1897,1098093,100000288,"(106.738, 10.8031)","(106.734, 10.8024)","(106.711, 10.8026)","('nguyễn_duy_hiệu', 'empty', 'xô_viết_nghệ_tĩnh')",256,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1898,1098101,100000288,"(106.738, 10.8031)","(106.734, 10.8024)","(106.712, 10.8097)","('nguyễn_duy_hiệu', 'empty', 'quốc_lộ_13')",384,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_26_quận_bình_thạnh')"
1899,1098143,100000288,"(106.738, 10.8031)","(106.734, 10.8029)","(106.711, 10.8026)","('nguyễn_duy_hiệu', 'số_39', 'xô_viết_nghệ_tĩnh')",192,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1900,1098151,100000288,"(106.738, 10.8031)","(106.734, 10.8029)","(106.712, 10.8097)","('nguyễn_duy_hiệu', 'số_39', 'quốc_lộ_13')",288,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_26_quận_bình_thạnh')"
1901,1098333,100000288,"(106.738, 10.8031)","(106.73200000000001, 10.8033)","(106.711, 10.8026)","('nguyễn_duy_hiệu', 'quốc_hương', 'xô_viết_nghệ_tĩnh')",256,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1902,1098341,100000288,"(106.738, 10.8031)","(106.73200000000001, 10.8033)","(106.712, 10.8097)","('nguyễn_duy_hiệu', 'quốc_hương', 'quốc_lộ_13')",384,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_26_quận_bình_thạnh')"
1903,1098588,100000288,"(106.738, 10.8031)","(106.73100000000001, 10.7997)","(106.711, 10.8026)","('nguyễn_duy_hiệu', 'cầu_sài_gòn_1', 'xô_viết_nghệ_tĩnh')",448,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
1904,1098596,100000288,"(106.738, 10.8031)","(106.73100000000001, 10.7997)","(106.712, 10.8097)","('nguyễn_duy_hiệu', 'cầu_sài_gòn_1', 'quốc_lộ_13')",672,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1905,1098609,100000288,"(106.738, 10.8031)","(106.73100000000001, 10.7997)","(106.713, 10.8194)","('nguyễn_duy_hiệu', 'cầu_sài_gòn_1', 'cầu_bình_triệu_(đinh_bộ_lĩnh)')",112,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1906,1098872,100000288,"(106.738, 10.8031)","(106.72200000000001, 10.798)","(106.711, 10.8026)","('nguyễn_duy_hiệu', 'điện_biên_phủ', 'xô_viết_nghệ_tĩnh')",576,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
1907,1098880,100000288,"(106.738, 10.8031)","(106.72200000000001, 10.798)","(106.712, 10.8097)","('nguyễn_duy_hiệu', 'điện_biên_phủ', 'quốc_lộ_13')",864,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1908,1098893,100000288,"(106.738, 10.8031)","(106.72200000000001, 10.798)","(106.713, 10.8194)","('nguyễn_duy_hiệu', 'điện_biên_phủ', 'cầu_bình_triệu_(đinh_bộ_lĩnh)')",144,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1909,1099138,100000288,"(106.738, 10.8031)","(106.711, 10.8026)","(106.711, 10.802999999999999)","('nguyễn_duy_hiệu', 'xô_viết_nghệ_tĩnh', 'xô_viết_nghệ_tĩnh')",224,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
1910,1099145,100000288,"(106.738, 10.8031)","(106.711, 10.8026)","(106.712, 10.8097)","('nguyễn_duy_hiệu', 'xô_viết_nghệ_tĩnh', 'quốc_lộ_13')",768,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1911,1099158,100000288,"(106.738, 10.8031)","(106.711, 10.8026)","(106.713, 10.8194)","('nguyễn_duy_hiệu', 'xô_viết_nghệ_tĩnh', 'cầu_bình_triệu_(đinh_bộ_lĩnh)')",128,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1912,1099286,100000288,"(106.738, 10.8031)","(106.712, 10.8097)","(106.712, 10.81)","('nguyễn_duy_hiệu', 'quốc_lộ_13', 'quốc_lộ_13')",528,False,"('phường_thảo_điền_quận_2', 'phường_26_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1913,1099298,100000288,"(106.738, 10.8031)","(106.712, 10.8097)","(106.713, 10.8194)","('nguyễn_duy_hiệu', 'quốc_lộ_13', 'cầu_bình_triệu_(đinh_bộ_lĩnh)')",192,False,"('phường_thảo_điền_quận_2', 'phường_26_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1914,1111250,100000288,"(106.734, 10.8029)","(106.73200000000001, 10.8033)","(106.712, 10.8097)","('số_39', 'quốc_hương', 'quốc_lộ_13')",144,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_26_quận_bình_thạnh')"
1915,1111424,100000288,"(106.734, 10.8029)","(106.73299999999999, 10.8008)","(106.712, 10.8097)","('số_39', 'empty', 'quốc_lộ_13')",108,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_26_quận_bình_thạnh')"
1916,1111497,100000288,"(106.734, 10.8029)","(106.73100000000001, 10.7997)","(106.711, 10.8026)","('số_39', 'cầu_sài_gòn_1', 'xô_viết_nghệ_tĩnh')",168,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
1917,1111505,100000288,"(106.734, 10.8029)","(106.73100000000001, 10.7997)","(106.712, 10.8097)","('số_39', 'cầu_sài_gòn_1', 'quốc_lộ_13')",252,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1918,1111781,100000288,"(106.734, 10.8029)","(106.72200000000001, 10.798)","(106.711, 10.8026)","('số_39', 'điện_biên_phủ', 'xô_viết_nghệ_tĩnh')",216,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
1919,1111789,100000288,"(106.734, 10.8029)","(106.72200000000001, 10.798)","(106.712, 10.8097)","('số_39', 'điện_biên_phủ', 'quốc_lộ_13')",324,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1920,1112054,100000288,"(106.734, 10.8029)","(106.711, 10.8026)","(106.712, 10.8097)","('số_39', 'xô_viết_nghệ_tĩnh', 'quốc_lộ_13')",288,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1921,1112195,100000288,"(106.734, 10.8029)","(106.712, 10.8097)","(106.712, 10.81)","('số_39', 'quốc_lộ_13', 'quốc_lộ_13')",198,False,"('phường_thảo_điền_quận_2', 'phường_26_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1922,1121294,100000288,"(106.73100000000001, 10.7997)","(106.729, 10.7993)","(106.711, 10.8026)","('cầu_sài_gòn_1', 'cầu_sài_gòn_1', 'xô_viết_nghệ_tĩnh')",188,False,"('phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
1923,1121302,100000288,"(106.73100000000001, 10.7997)","(106.729, 10.7993)","(106.712, 10.8097)","('cầu_sài_gòn_1', 'cầu_sài_gòn_1', 'quốc_lộ_13')",252,False,"('phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1924,1121501,100000288,"(106.73100000000001, 10.7997)","(106.72200000000001, 10.798)","(106.711, 10.8026)","('cầu_sài_gòn_1', 'điện_biên_phủ', 'xô_viết_nghệ_tĩnh')",594,False,"('phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
1925,1121509,100000288,"(106.73100000000001, 10.7997)","(106.72200000000001, 10.798)","(106.712, 10.8097)","('cầu_sài_gòn_1', 'điện_biên_phủ', 'quốc_lộ_13')",756,False,"('phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1926,1121522,100000288,"(106.73100000000001, 10.7997)","(106.72200000000001, 10.798)","(106.713, 10.8194)","('cầu_sài_gòn_1', 'điện_biên_phủ', 'cầu_bình_triệu_(đinh_bộ_lĩnh)')",126,False,"('phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1927,1121767,100000288,"(106.73100000000001, 10.7997)","(106.711, 10.8026)","(106.711, 10.802999999999999)","('cầu_sài_gòn_1', 'xô_viết_nghệ_tĩnh', 'xô_viết_nghệ_tĩnh')",201,False,"('phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
1928,1121774,100000288,"(106.73100000000001, 10.7997)","(106.711, 10.8026)","(106.712, 10.8097)","('cầu_sài_gòn_1', 'xô_viết_nghệ_tĩnh', 'quốc_lộ_13')",672,False,"('phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1929,1121787,100000288,"(106.73100000000001, 10.7997)","(106.711, 10.8026)","(106.713, 10.8194)","('cầu_sài_gòn_1', 'xô_viết_nghệ_tĩnh', 'cầu_bình_triệu_(đinh_bộ_lĩnh)')",112,False,"('phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1930,1121915,100000288,"(106.73100000000001, 10.7997)","(106.712, 10.8097)","(106.712, 10.81)","('cầu_sài_gòn_1', 'quốc_lộ_13', 'quốc_lộ_13')",462,False,"('phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1931,1121927,100000288,"(106.73100000000001, 10.7997)","(106.712, 10.8097)","(106.713, 10.8194)","('cầu_sài_gòn_1', 'quốc_lộ_13', 'cầu_bình_triệu_(đinh_bộ_lĩnh)')",168,False,"('phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1932,1122250,100000288,"(106.729, 10.7993)","(106.72200000000001, 10.798)","(106.712, 10.8097)","('cầu_đen_1', 'điện_biên_phủ', 'quốc_lộ_13')",108,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1933,1126452,100000288,"(106.72200000000001, 10.798)","(106.72, 10.7987)","(106.711, 10.8026)","('điện_biên_phủ', 'điện_biên_phủ', 'xô_viết_nghệ_tĩnh')",360,False,"('phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
1934,1126460,100000288,"(106.72200000000001, 10.798)","(106.72, 10.7987)","(106.712, 10.8097)","('điện_biên_phủ', 'điện_biên_phủ', 'quốc_lộ_13')",432,False,"('phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1935,1126687,100000288,"(106.72200000000001, 10.798)","(106.711, 10.8026)","(106.711, 10.802999999999999)","('điện_biên_phủ', 'xô_viết_nghệ_tĩnh', 'xô_viết_nghệ_tĩnh')",261,False,"('phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
1936,1126694,100000288,"(106.72200000000001, 10.798)","(106.711, 10.8026)","(106.712, 10.8097)","('điện_biên_phủ', 'xô_viết_nghệ_tĩnh', 'quốc_lộ_13')",864,False,"('phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1937,1126707,100000288,"(106.72200000000001, 10.798)","(106.711, 10.8026)","(106.713, 10.8194)","('điện_biên_phủ', 'xô_viết_nghệ_tĩnh', 'cầu_bình_triệu_(đinh_bộ_lĩnh)')",144,False,"('phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1938,1126835,100000288,"(106.72200000000001, 10.798)","(106.712, 10.8097)","(106.712, 10.81)","('điện_biên_phủ', 'quốc_lộ_13', 'quốc_lộ_13')",594,False,"('phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1939,1126847,100000288,"(106.72200000000001, 10.798)","(106.712, 10.8097)","(106.713, 10.8194)","('điện_biên_phủ', 'quốc_lộ_13', 'cầu_bình_triệu_(đinh_bộ_lĩnh)')",216,False,"('phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1940,1130135,100000288,"(106.711, 10.8026)","(106.711, 10.802999999999999)","(106.712, 10.8097)","('xô_viết_nghệ_tĩnh', 'xô_viết_nghệ_tĩnh', 'quốc_lộ_13')",336,False,"('phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1941,1130255,100000288,"(106.711, 10.8026)","(106.712, 10.8097)","(106.712, 10.81)","('xô_viết_nghệ_tĩnh', 'quốc_lộ_13', 'quốc_lộ_13')",528,False,"('phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
1942,1130267,100000288,"(106.711, 10.8026)","(106.712, 10.8097)","(106.713, 10.8194)","('xô_viết_nghệ_tĩnh', 'quốc_lộ_13', 'cầu_bình_triệu_(đinh_bộ_lĩnh)')",192,False,"('phường_25_quận_bình_thạnh', 'phường_26_quận_bình_thạnh', 'phường_26_quận_bình_thạnh')"
